__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
14:53:11,771 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.279s. Listening on: http://0.0.0.0:8888
14:53:11,777 INFO  quarkus:91 [main] Profile prod activated. 
14:53:11,778 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
14:53:15,740 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
14:53:15,815 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
14:53:15,815 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
14:53:15,891 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
14:53:16,198 INFO  ReplicaLoggerClient:63 [executor-thread-2] Path created [/media/disk1/0b057f09-3432-487e-bfde-2eb8b9a32ede]
1670709196199, 0, 0
1670709197199, 0, 0
1670709198200, 0, 0
1670709199200, 0, 0
1670709200201, 0, 0
1670709201201, 0, 0
1670709202201, 791, 791
1670709203202, 3814, 4605
1670709204202, 3828, 8433
1670709205203, 3858, 12291
1670709206203, 3944, 16235
1670709207204, 3903, 20138
1670709208205, 3870, 24008
1670709209205, 3832, 27840
1670709210205, 3878, 31718
1670709211206, 3949, 35667
1670709212206, 3889, 39556
1670709213206, 3911, 43467
1670709214207, 3878, 47345
1670709215207, 3886, 51231
1670709216208, 3909, 55140
1670709217208, 3963, 59103
1670709218210, 3894, 62997
1670709219210, 3895, 66892
1670709220211, 3832, 70724
1670709221211, 3871, 74595
1670709222211, 3905, 78500
1670709223212, 3844, 82344
1670709224213, 3932, 86276
1670709225213, 3901, 90177
1670709226213, 3896, 94073
1670709227214, 3945, 98018
1670709228214, 3899, 101917
1670709229215, 3889, 105806
1670709230215, 3908, 109714
1670709231216, 3940, 113654
1670709232216, 3893, 117547
1670709233216, 3901, 121448
1670709234217, 3920, 125368
1670709235217, 3895, 129263
1670709236218, 3932, 133195
1670709237219, 3878, 137073
1670709238220, 3952, 141025
1670709239220, 3873, 144898
1670709240221, 3924, 148822
1670709241221, 3904, 152726
1670709242221, 3894, 156620
1670709243222, 3858, 160478
1670709244222, 3934, 164412
1670709245223, 3852, 168264
1670709246223, 3846, 172110
1670709247223, 3896, 176006
1670709248224, 3904, 179910
1670709249224, 3888, 183798
1670709250225, 3870, 187668
1670709251225, 3915, 191583
1670709252225, 3849, 195432
1670709253226, 3869, 199301
1670709254226, 3904, 203205
1670709255227, 3943, 207148
1670709256227, 3934, 211082
1670709257228, 2830, 213912
1670709258228, 3951, 217863
1670709259229, 3966, 221829
1670709260229, 3887, 225716
1670709261229, 3907, 229623
1670709262230, 2798, 232421
1670709263230, 3959, 236380
1670709264231, 3920, 240300
1670709265231, 3870, 244170
1670709266231, 3977, 248147
1670709267232, 2652, 250799
1670709268233, 3973, 254772
1670709269233, 3975, 258747
1670709270234, 3948, 262695
1670709271234, 3916, 266611
1670709272234, 2826, 269437
1670709273235, 3911, 273348
1670709274236, 3972, 277320
1670709275236, 3884, 281204
1670709276236, 3878, 285082
1670709277237, 2781, 287863
1670709278237, 3888, 291751
1670709279237, 3858, 295609
1670709280238, 3923, 299532
1670709281238, 3902, 303434
1670709282239, 3925, 307359
1670709283239, 3965, 311324
1670709284239, 3891, 315215
1670709285240, 3948, 319163
1670709286240, 3923, 323086
1670709287240, 2546, 325632
1670709288241, 3972, 329604
1670709289241, 3920, 333524
1670709290241, 3938, 337462
1670709291242, 3114, 340576
1670709292242, 0, 340576
1670709293242, 0, 340576
